open_time;open;high;low;close;up down;up down volume;volume;close_time;quote_volume;trades;taker_base_volue;taker_quote_volume;ignore;acc_volum;price diff;10xprice diff;10 mins acc volume;10mins acc price diff;;;10 mins acc volume;10mins acc price diff
1.60723E+12;19200.78;19200.78;19188.07;19190.43;-1;-11.322691;11.322691;1.60723E+12;217304.4046;431;4.848692;93056.39831;0;31.277367;-10.35;-103.5;-32.909109;-10.78;;;-29.570087;-4.51
1.60723E+12;19189.1;19195.31;19185.34;19186.68;-1;-15.354828;15.354828;1.60723E+12;294640.8712;397;8.717856;167285.7941;0;15.922539;-3.75;-37.5;-29.570087;-4.51;;;-29.286113;13.66
1.60723E+12;19187.63;19190.62;19185.43;19187.19;-1;-9.401095;9.401095;1.60723E+12;180377.7493;296;3.016878;57883.86343;0;6.521444;0.51;5.1;-26.58635;-3.46;;;-28.448179;2.73
1.60723E+12;19187.18;19192.48;19186.61;19192.03;1;10.260752;10.260752;1.60723E+12;196892.2006;260;4.224092;81054.45435;0;16.782196;4.84;48.4;-6.382493;2.81;;;-27.012175;-32.97
1.60723E+12;19192.03;19196.95;19188.5;19190.05;-1;-12.480099;12.480099;1.60723E+12;239520.7654;278;6.903515;132496.9798;0;4.302097;-1.98;-19.8;-0.589627;7.97;;;-26.58635;-3.46
1.60723E+12;19190.05;19192.01;19186.8;19188.45;-1;-5.103344;5.103344;1.60723E+12;97924.70981;281;2.75164;52798.81769;0;-0.801247;-1.6;-16;-4.704385;2.51;;;-26.550574;6.76
1.60723E+12;19188.46;19192.49;19186.75;19189.39;1;7.122522;7.122522;1.60723E+12;136685.1154;283;3.900594;74854.053;0;6.321275;0.94;9.4;-19.741827;-4.97;;;-26.357147;17
1.60723E+12;19189.64;19190.42;19187.83;19189.98;1;7.056862;7.056862;1.60723E+12;135409.067;258;4.933469;94664.37358;0;13.378137;0.59;5.9;-3.619741;-5.42;;;-26.183625;1.41
1.60723E+12;19189.12;19189.13;19185.13;19188.45;-1;-8.421669;8.421669;1.60723E+12;161589.7134;204;2.982072;57220.25538;0;4.956468;-1.53;-15.3;7.975737;4.14;;;-25.903446;-0.75
1.60723E+12;19188.45;19189.96;19186.5;19186.51;-1;-9.59174;9.59174;1.60723E+12;184045.685;287;4.872831;93501.60178;0;-4.635272;-1.94;-19.4;27.369426;10.34;;;-25.216319;18.45
1.60723E+12;19186.5;19190;19183.88;19190;1;14.326221;14.326221;1.60723E+12;274868.4793;221;4.939418;94771.67563;0;9.690949;3.49;34.9;21.169944;12.11;;;-24.128038;12.84
1.60723E+12;19190;19190;19185.5;19185.92;-1;-7.983669;7.983669;1.60723E+12;153189.6996;281;2.916284;55957.14753;0;1.70728;-4.08;-40.8;-2.015646;3.44;;;-23.884451;25.86
1.60723E+12;19185.92;19185.92;19178.64;19183.22;-1;-12.371091;12.371091;1.60723E+12;237307.7142;418;4.121696;79061.62668;0;-10.663811;-2.7;-27;27.730857;29.14;;;-23.870287;8.94
1.60723E+12;19183.22;19190;19183.22;19190;1;10.802762;10.802762;1.60723E+12;207254.4526;363;6.959953;133530.4072;0;0.138951;6.78;67.8;15.78205;11.45;;;-22.633128;19.07
1.60723E+12;19190;19200;19189.99;19200;1;16.053618;16.053618;1.60723E+12;308162.6969;286;10.090808;193710.8097;0;16.192569;10;100;11.894516;5.39;;;-22.28891;14.15
1.60723E+12;19199.99;19200.58;19192.26;19192.56;-1;-16.594857;16.594857;1.60723E+12;318577.424;312;5.25273;100835.8574;0;-0.402288;-7.44;-74.4;1.487142;-0.63;;;-21.603131;-9.55
1.60723E+12;19192.57;19194.55;19183.48;19183.48;-1;-20.140786;20.140786;1.60723E+12;386502.2536;408;9.823322;188493.1968;0;-20.543074;-9.08;-90.8;8.10533;5.27;;;-21.037207;19.27
1.60723E+12;19183.47;19186.54;19179.07;19183.97;1;23.244608;23.244608;1.60723E+12;445883.0111;467;8.85369;169839.5077;0;2.701534;0.49;4.9;21.422266;10.21;;;-20.218774;1.79
1.60723E+12;19183.97;19201.86;19183.97;19194.12;1;18.65234;18.65234;1.60723E+12;357951.9149;503;11.492334;220535.9763;0;21.353874;10.15;101.5;-108.153659;-2.96;;;-20.120026;14.26
1.60723E+12;19194.12;19198.8;19191.74;19198.79;1;10.97202;10.97202;1.60723E+12;210612.2329;189;7.922693;152071.3109;0;32.325894;4.67;46.7;-139.663287;-18.98;;;-20.109069;-2.52
1.60723E+12;19198.79;19200;19190.5;19198.62;-1;-15.791222;15.791222;1.60723E+12;303123.309;374;7.029245;134935.4897;0;16.534672;-0.17;-1.7;-138.382387;-23.07;;;-19.800267;-8.97
1.60723E+12;19198.62;19198.62;19190.17;19193.44;-1;-8.859369;8.859369;1.60723E+12;170056.6682;295;4.194314;80509.97261;0;7.675303;-5.18;-51.8;-101.883378;-18.92;;;-19.741827;-4.97
1.60723E+12;19193.44;19222.54;19193.44;19215.06;1;21.762834;21.762834;1.60723E+12;417951.1017;607;12.754218;244918.9326;0;29.438137;21.62;216.2;-134.218522;-42.63;;;-18.161766;-5.32
1.60723E+12;19215.06;19217.74;19194.67;19194.67;-1;-24.319898;24.319898;1.60723E+12;467077.404;603;7.496827;143978.747;0;5.118239;-20.39;-203.9;-136.097522;-51.65;;;-16.60969;25.35
1.60723E+12;19194.67;19199.96;19192.73;19195.39;1;6.915228;6.915228;1.60723E+12;132745.5514;238;4.943957;94903.57766;0;12.033467;0.72;7.2;-130.279976;-48.1;;;-15.710352;9.23
1.60723E+12;19195.39;19200;19195.38;19199.37;1;5.646244;5.646244;1.60723E+12;108393.0465;233;3.16712;60799.40219;0;17.679711;3.98;39.8;-163.456504;-62.56;;;-15.698914;-9.45
1.60723E+12;19199.37;19199.37;19193.13;19197.83;-1;-9.976669;9.976669;1.60723E+12;191513.913;341;5.253935;100855.7719;0;7.703042;-1.54;-15.4;-73.953739;-60.35;;;-14.684206;-10.33
1.60723E+12;19197.83;19197.83;19192.04;19193.69;-1;-6.82385;6.82385;1.60723E+12;130982.9216;303;3.03516;58257.67414;0;0.879192;-4.14;-41.4;-94.035192;-81.52;;;-14.081793;24.78
1.60723E+12;19193.69;19195.39;19136.42;19181.01;-1;-106.331317;106.331317;1.60723E+12;2038588.588;849;25.792482;494578.4208;0;-105.452125;-12.68;-126.8;-53.741611;-61.31;;;-13.760713;6.08
1.60723E+12;19181.01;19181.36;19174.17;19175.14;-1;-12.857288;12.857288;1.60723E+12;246601.2275;313;8.960806;171868.6038;0;-118.309413;-5.87;-58.7;26.061466;-55.07;;;-13.712253;15.65
1.60723E+12;19175.1;19178.24;19174;19175.72;1;12.25292;12.25292;1.60723E+12;234963.5946;416;4.247379;81449.01301;0;-106.056493;0.58;5.8;49.021149;-38.76;;;-13.562459;0.73
1.60723E+12;19175.71;19179.93;19169.69;19179.7;1;20.707787;20.707787;1.60723E+12;397069.3771;488;8.349889;160117.6032;0;-85.348706;3.98;39.8;20.604526;-50.6;;;-12.826124;11.63
1.60723E+12;19179.7;19179.7;19149.16;19150.81;-1;-41.194513;41.194513;1.60723E+12;789347.9115;670;17.642834;338003.2618;0;-126.543219;-28.89;-288.9;20.923212;-46.77;;;-11.96783;14.29
1.60723E+12;19150.8;19165.13;19142.51;19163.41;1;19.883834;19.883834;1.60723E+12;380851.6508;514;11.713867;224399.9705;0;-106.659385;12.6;126;50.293289;-22.52;;;-11.859785;11.36
1.60723E+12;19163.41;19163.41;19145.01;19146.57;-1;-18.502352;18.502352;1.60723E+12;354328.5547;554;9.10207;174304.6829;0;-125.161737;-16.84;-168.4;44.130899;-23.42;;;-11.81699;8.66
1.60723E+12;19146.56;19148.4;19132;19132.83;-1;-26.2613;26.2613;1.60723E+12;502659.2606;703;8.746328;167432.2645;0;-151.423037;-13.74;-137.4;53.652896;-9.21;;;-10.591663;8.21
1.60723E+12;19132.83;19141.13;19105;19139.02;1;95.149009;95.149009;1.60723E+12;1819500.343;1754;39.425831;754009.0227;0;-56.274028;6.19;61.9;87.90718;7.66;;;-10.139583;20.04
1.60723E+12;19139.02;19139.02;19112.73;19116.31;-1;-30.058122;30.058122;1.60723E+12;574888.3962;655;10.057787;192316.8823;0;-86.33215;-22.71;-227.1;0.223366;5.07;;;-9.63952;9.34
1.60723E+12;19116.31;19143.46;19106.54;19132.38;1;33.469731;33.469731;1.60723E+12;640112.8495;837;16.616171;317851.0359;0;-52.862419;16.07;160.7;54.111804;38.48;;;-9.087594;-15.01
1.60723E+12;19130.48;19140.26;19120.33;19125.94;-1;-26.52824;26.52824;1.60723E+12;507437.8881;671;13.16772;251875.3127;0;-79.390659;-6.44;-64.4;41.008386;23.27;;;-8.381843;-4.25
1.60723E+12;19125.94;19138.87;19124.25;19136.38;1;10.102395;10.102395;1.60723E+12;193262.8397;445;4.244044;81194.70758;0;-69.288264;10.44;104.4;52.610896;23.95;;;-7.936094;21.94
1.60723E+12;19136.39;19136.41;19120;19125.12;-1;-16.163703;16.163703;1.60723E+12;309163.749;483;7.958796;152210.332;0;-85.451967;-11.26;-112.6;46.235379;20.22;;;-7.683183;14.33
1.60723E+12;19125.13;19136.36;19115.35;19132.93;1;21.026473;21.026473;1.60723E+12;402144.8365;495;15.940769;304887.07;0;-64.425494;7.81;78.1;47.880617;9.21;;;-6.81757;25.85
