open_time;open;high;low;close;up down;up down volume;volume;close_time;quote_volume;trades;taker_base_volue;taker_quote_volume;ignore;acc_volum;price diff;10xprice diff;10 mins acc volume;10mins acc price diff;dev 10 mins acc volume;dev 10mins acc price diff;10x up down volume;;;10 mins acc volume;10mins acc price diff;;;
1.60729E+12;19131.66;19138.35;19131.65;19138.34;1;4.242024;4.242024;1.60729E+12;81170.05944;127;2.676521;51212.25722;0;-181.071232;6.68;66.8;151.188928;46.38;107.028775;31.53;42.42024;;;-216.430263;-41.27;0.190684978;;
1.60729E+12;19138.35;19140.04;19134.34;19134.39;-1;-6.040691;6.040691;1.60729E+12;115602.0747;172;3.437692;65786.17402;0;-187.111923;-3.95;-39.5;121.021767;33.99;-30.167161;-12.39;-60.40691;;;-214.648486;-43.65;0.203355732;;
1.60729E+12;19134.39;19149.59;19134.39;19146.92;1;16.146058;16.146058;1.60729E+12;309071.932;283;7.665533;146735.7715;0;-170.965865;12.53;125.3;107.720235;35.82;-13.301532;1.83;161.46058;;;-213.311531;-12.87;0.060334291;;
1.60729E+12;19146.92;19152.1;19134.22;19138.85;-1;-14.27422;14.27422;1.60729E+12;273234.7579;310;10.458624;200200.5421;0;-185.240085;-8.07;-80.7;99.783054;27.81;-7.937181;-8.01;-142.7422;;;-211.747536;-36.83;0.173933547;;
1.60729E+12;19138.85;19148.32;19138.85;19143.56;1;22.554007;22.554007;1.60729E+12;431796.7656;309;18.138855;347273.651;0;-162.686078;4.71;47.1;125.554414;37.19;25.77136;9.38;225.54007;;;-211.010303;-3.34;0.015828611;;
1.60729E+12;19143.56;19156;19143.55;19154.88;1;25.820454;25.820454;1.60729E+12;494575.7857;263;2.722662;52142.81329;0;-136.865624;11.32;113.2;95.209966;30.68;-30.344448;-6.51;258.20454;;;-205.812392;10.31;-0.050094165;;
1.60729E+12;19154.88;19160;19146;19153.5;-1;-14.798505;14.798505;1.60729E+12;283441.6377;377;7.309143;140000.9428;0;-151.664129;-1.38;-13.8;80.387618;23.5;-14.822348;-7.18;-147.98505;;;-204.835769;-25.93;0.126589219;;
1.60729E+12;19153.51;19157.89;19148.04;19154.76;1;14.736506;14.736506;1.60729E+12;282289.838;346;2.698697;51688.42859;0;-136.927623;1.26;12.6;106.631584;25.16;26.243966;1.66;147.36506;;;-204.663688;-53.54;0.261599898;;
1.60729E+12;19154.77;19156;19147.5;19148.88;-1;-6.615978;6.615978;1.60729E+12;126710.585;218;2.906271;55660.35258;0;-143.543601;-5.88;-58.8;101.661086;24.27;-4.970498;-0.89;-66.15978;;;-202.230959;-41.33;0.204370291;;
1.60729E+12;19148.88;19154.69;19146.5;19153.29;1;8.966687;8.966687;1.60729E+12;171729.5082;342;5.565617;106591.2823;0;-134.576914;4.41;44.1;78.520105;27.89;-23.140981;3.62;89.66687;;;-197.793594;-10.75;0.054349586;;
1.60729E+12;19153.27;19180;19153.26;19178.04;1;100.452586;100.452586;1.60729E+12;1924771.189;710;89.368866;1712240.316;0;-34.124328;24.75;247.5;87.962396;30.39;9.442291;2.5;1004.52586;;;-197.512206;-91.47;0.463110619;;
1.60729E+12;19178.05;19180;19168.01;19172.33;-1;-25.925137;25.925137;1.60729E+12;497131.4106;419;11.771548;225726.595;0;-60.049465;-5.71;-57.1;-4.506115;5.27;-92.468511;-25.12;-259.25137;;;-195.633924;-104.49;0.53410982;;
1.60729E+12;19172.33;19175.57;19168.02;19170.21;-1;-19.342223;19.342223;1.60729E+12;370825.5009;584;6.056334;116107.2307;0;-79.391688;-2.12;-21.2;12.356167;9.48;16.862282;4.21;-193.42223;;;-193.985463;-31.03;0.15996044;;
